Feature,KAN-L1,KAN-L2,KAN-SI,KAN-KO,Mutual Info,Permutation (RF),LASSO/L1,SVM-RFE,Dataset
X0,0.0047855126,0.0038474016,0.007555584,0.0014408522,0.0003636482026610557,0.0,0.0,3.2154340836006246e-15,digits
X1,0.015713079,0.023075458,0.0077269636,0.0016293544,0.012293323466762148,0.0,0.0008384920451385564,0.00836012861736484,digits
X2,0.018157013,0.017648615,0.015011156,0.013405649,0.02168396597838561,0.0,0.0,0.010289389067525214,digits
X3,0.015119272,0.013130769,0.02681679,0.030965215,0.013307422591688059,0.0,0.0,0.014147909967845962,digits
X4,0.013586898,0.012724834,0.022344282,0.017878199,0.0020014202977991407,0.0,0.0,0.010932475884245337,digits
X5,0.019560818,0.020540569,0.016099308,0.02610878,0.010243225472708999,0.0,0.013981272822514023,0.02186495176848746,digits
X6,0.0147124855,0.023787035,0.01270725,0.019964842,0.0055249341178660915,0.0,0.0015902431225957464,0.01672025723472646,digits
X7,0.004867057,0.0038873092,0.006632143,0.001186678,0.00023750731628921726,0.0,0.0,3.2154340836006246e-15,digits
X8,0.005151252,0.004422727,0.005073064,0.0012167263,0.0011255750207827399,0.0,0.0,0.00450160771704409,digits
X9,0.022490349,0.022480035,0.015118599,0.013218711,0.02368859063644429,0.013333333333333332,0.04294139416691841,0.02443729903536796,digits
X10,0.021368336,0.018118322,0.0315561,0.036367524,0.02712251427517857,0.03733333333333334,0.06576014623100393,0.02636655948552834,digits
X11,0.0137306405,0.011771175,0.019700456,0.004940818,0.007551913994300016,0.0,0.0,0.00964630225080509,digits
X12,0.016176986,0.0133397225,0.027257308,0.006221565,0.011476172114705464,0.0,0.0,0.023794212218647838,digits
X13,0.0151972445,0.013327134,0.018275766,0.013872212,0.015323163029678788,0.0,0.0,0.011575562700965462,digits
X14,0.013580779,0.020226274,0.0094134575,0.01231533,0.004726817516127262,0.0,0.0,0.01736334405144659,digits
X15,0.004812634,0.0039231144,0.005010682,0.0013385843,0.0011360511988359255,0.0,0.0,3.2154340836006246e-15,digits
X16,0.008120991,0.024503699,0.005353204,0.0015985093,0.0002155963740744067,0.0,0.0,0.006430868167204465,digits
X17,0.01658877,0.017725127,0.013442317,0.0076007172,0.016444424623533592,0.0,0.0,0.007717041800644714,digits
X18,0.016849263,0.014669006,0.024913162,0.02960138,0.020764116777049323,0.0,0.008091324580923095,0.01864951768488684,digits
X19,0.027895832,0.0238931,0.03226898,0.045326672,0.031357849478742615,0.29342857142857154,0.08569223093056746,0.02958199356912896,digits
X20,0.021846998,0.018595908,0.026412716,0.026591677,0.03453556815315055,0.0,0.037274948748774225,0.02186495176848746,digits
X21,0.016946223,0.014632866,0.0195993,0.019155236,0.01435635923208856,0.0,0.0,0.01607717041800634,digits
X22,0.016812716,0.018902432,0.010126585,0.0103489915,0.018956399751832123,0.0,0.0,0.008360128617364838,digits
X23,0.004868588,0.0039797686,0.006245659,0.0013669684,0.0007499953064048655,0.0,0.0,3.2154340836006246e-15,digits
X24,0.0050222995,0.0041209813,0.0059577455,0.0018382305,0.0006421798963125284,0.0,0.0,0.00321543408360384,digits
X25,0.018274669,0.018267766,0.014486058,0.01495033,0.02318393508066466,0.0,0.0,0.02572347266880821,digits
X26,0.022533271,0.019287566,0.021030879,0.045054555,0.02777919749065625,0.03200000000000001,0.047076443480004816,0.023794212218647838,digits
X27,0.029263476,0.025256941,0.024497826,0.07196863,0.031379689066686235,0.3099047619047616,0.12041666481050015,0.03215434083600946,digits
X28,0.021890769,0.018105466,0.021999802,0.023975816,0.046890809755181576,0.012000000000000014,0.053593924556032534,0.027009646302248457,digits
X29,0.017971884,0.016668726,0.017417084,0.03474011,0.014440047402613962,0.0,0.0,0.016077170418006336,digits
X30,0.023299297,0.021926474,0.015206906,0.0024531893,0.03774682312266816,0.0,0.0,0.012861736334405714,digits
X31,0.004710589,0.0037680399,0.006730277,0.0011532379,0.0019562483092585184,0.0,0.0,3.2154340836006246e-15,digits
X32,0.004650808,0.0037480784,0.005713802,0.0014539423,0.0003057270334132459,0.0,0.0,0.00321543408360384,digits
X33,0.019127723,0.01836472,0.013613427,0.016343342,0.032463384594459625,0.019999999999999997,0.0824368289590018,0.023794212218647835,digits
X34,0.021297846,0.019253211,0.017749483,0.043403275,0.03044127010304652,0.04533333333333335,0.01802926911354443,0.031511254019289336,digits
X35,0.02204596,0.01999737,0.024832377,0.019014034,0.02774562571613508,0.00800000000000001,0.0064249684040632625,0.019935691318327085,digits
X36,0.020882126,0.017681751,0.01838357,0.014500326,0.05040603289484965,0.05,0.033359009935667656,0.019292604501606962,digits
X37,0.017270127,0.016722163,0.0154485,0.0033760692,0.018382767107387177,0.0,0.0,0.010289389067525214,digits
X38,0.022864541,0.021478727,0.0142155215,0.004922165,0.03910004489552413,0.00800000000000001,0.11929170755439096,0.03151125401928933,digits
X39,0.0049354034,0.003985812,0.006789389,0.0015437182,0.0016796595223348878,0.0,0.0,0.00321543408360384,digits
X40,0.0046335803,0.00362407,0.00529236,0.0015087756,0.001837912050332565,0.0,0.0,0.0012861736334434653,digits
X41,0.019975925,0.021253765,0.0153059885,0.036675822,0.02298364483906013,0.03333333333333336,0.0,0.013504823151125838,digits
X42,0.020316914,0.016875828,0.015629275,0.03301514,0.018932117285899056,0.037333333333333336,0.02202201725162456,0.030225080385849083,digits
X43,0.020863585,0.017942263,0.018947981,0.008064664,0.0238091551772124,0.0,0.026066436200627312,0.02572347266880821,digits
X44,0.02424339,0.020421308,0.022294136,0.020959254,0.026939337618435068,0.0,0.04551573604600508,0.028295819935688714,digits
X45,0.021124009,0.019244585,0.024031494,0.019144338,0.021593283656239727,0.01600000000000002,0.011355836303088588,0.02443729903536796,digits
X46,0.021028856,0.02075083,0.015615326,0.012577198,0.023738419586623982,0.0,0.0,0.026366559485528334,digits
X47,0.008369931,0.022355301,0.0063046603,0.00081934175,0.0008303985577041368,0.0,0.0,0.00578778135048434,digits
X48,0.0050543966,0.0045651025,0.0062715025,0.001346318,0.0012833839317293652,0.0,0.0,0.00321543408360384,digits
X49,0.016005239,0.023198139,0.011490656,0.008336479,0.007598234851912297,0.0,0.011749574021809296,0.00707395498392459,digits
X50,0.015953083,0.014034161,0.019220527,0.011651384,0.019125959285850758,0.004000000000000005,0.03784318873963992,0.019292604501606962,digits
X51,0.018318115,0.016303891,0.025376866,0.03514929,0.015555050984469599,0.004000000000000005,0.019666193533353027,0.02572347266880821,digits
X52,0.013634321,0.0119953165,0.016035419,0.005005141,0.004635155158327699,0.0,0.0,0.01672025723472646,digits
X53,0.014179559,0.01210318,0.017920423,0.013035139,0.018297357529821593,0.004000000000000005,0.003847674148886262,0.018649517684886836,digits
X54,0.021424126,0.020149317,0.023191804,0.035488866,0.014992838583390062,0.013333333333333332,0.01671344783460151,0.025080385852088088,digits
X55,0.0125022065,0.019696567,0.010140421,0.0028956537,0.006010342009722244,0.0,0.0,0.010932475884245337,digits
X56,0.005055557,0.0040803934,0.0065818317,0.0014749297,0.0007522361005857578,0.0,0.0,0.00321543408360384,digits
X57,0.014470485,0.022458546,0.00538689,0.0008241578,0.009841051198263371,0.0,0.0027392839246445106,0.018006430868166716,digits
X58,0.018213185,0.018174132,0.014433148,0.002727689,0.023963456489104272,0.0,0.025298170389682795,0.019292604501606962,digits
X59,0.013364576,0.011353489,0.02004013,0.03163174,0.014574831450084738,0.0,0.0,0.021221864951767342,digits
X60,0.012662853,0.011162922,0.013860224,0.0,0.0032897090252052806,0.00800000000000001,0.0,0.010289389067525214,digits
X61,0.019039523,0.01666308,0.022770565,0.019704018,0.012782818820701342,0.004000000000000005,0.031007143777900925,0.019292604501606962,digits
X62,0.021452855,0.020574657,0.022461753,0.043986626,0.019224406716682702,0.04666666666666669,0.009376428366495184,0.025080385852088088,digits
X63,0.0131332325,0.019232891,0.012663146,0.009625884,0.007678902174360217,0.0,0.0,0.009003215434084964,digits
